smiles,Ki,leaked
CC(C)(C)OC(=O)NCCCNc1nc(N)n2nc(-c3ccco3)nc2n1,38.6,False
CC(C)(C)OC(=O)NCCNc1nc(N)n2nc(-c3ccco3)nc2n1,40.9,False
CC(C)(C)OC(=O)NCCNc1nc(NCCNC(=O)OC(C)(C)C)n2nc(-c3ccco3)nc2n1,4360.0,False
CC(C)(C)OC(=O)NCCNc1ncc(C(=O)O)c2nc(-c3ccco3)nn12,22600.0,False
CC(C)(C)OC(=O)NCCOCCOCCNc1nc(N)n2nc(-c3ccco3)nc2n1,17.8,False
CC(C)(C)c1cc(-c2cn3c(=O)n(-c4ccccc4)nc3c(N)n2)ccc1O,8.5,False
CC(C)(C)c1cc(C(=O)NCCC(=O)Nc2ccc(-c3cn4c(=O)n(-c5ccccc5)nc4c(N)n3)cc2)cc(C(C)(C)C)c1O,54.5,False
CC(C)(C)c1cc(C(=O)NCCCCCCNc2ncnc3c2ncn3[C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)cc(C(C)(C)C)c1O,10000.0,False
CC(C)(C)c1cc(C(=O)NCCOc2ccc(-c3cn4c(=O)n(-c5ccccc5)nc4c(N)n3)cc2)cc(C(C)(C)C)c1O,14750.0,False
CC(C)(C)c1cc(C(=O)NCCc2ccc(Nc3ncnc4c3ncn4[C@@H]3O[C@H](CO)[C@@H](O)[C@H]3O)cc2)cc(C(C)(C)C)c1O,10000.0,False
CC(C)(C)c1ccc(-c2nc(N)nc3ccccc23)cc1,10000.0,False
CC(C)(C)c1ccc(Cn2cc(-c3nc(N)c4ncn([C@@H]5O[C@H](CO)[C@@H](O)[C@H]5O)c4n3)cn2)cc1,2420.0,False
CC(C)(C)c1nc(-c2nccs2)c2sccc2n1,3.1,False
CC(C)(C)c1nc2c(-c3ccccc3)cc(-c3ccccc3)nc2[nH]1,1055.0,False
CC(C)(C)n1cc2c(nc(N)n3nc(-c4ccco4)nc23)n1,45.0,False
CC(C)(C)n1cc2c(nc(NC(=O)Nc3cccc(Cl)c3)n3nc(-c4ccco4)nc23)n1,796.0,False
CC(C)(NC(=O)COc1ccc2[nH]c(=O)c(-c3ccccn3)c(CCc3ccccc3)c2c1)c1ccccc1,10000.0,False
CC(C)(NC(=O)COc1ccc2[nH]c(=O)c(-c3cccnc3)c(CCc3ccccc3)c2c1)c1ccccc1,10000.0,False
CC(C)(NC(=O)COc1ccc2[nH]c(=O)c(-c3ccncc3)c(CCc3ccccc3)c2c1)c1ccccc1,10000.0,False
CC(C)(NC(=O)COc1ccc2[nH]c(=O)c(-c3nccs3)c(CCC(F)(F)F)c2c1)c1ccccc1,878.0,False
CC(C)(NC(=O)COc1ccc2[nH]c(=O)c(-c3nccs3)c(CCc3ccc(F)cc3)c2c1)c1ccccc1,10000.0,False
CC(C)(NC(=O)COc1ccc2[nH]c(=O)c(-c3nccs3)c(CCc3ccccc3)c2c1)c1ccccc1,10000.0,False
CC(C)(NC(=O)COc1ccc2[nH]c(=O)c(-c3nccs3)c(COc3ccccc3)c2c1)c1ccccc1,10000.0,False
